neighbourhood_name,median_appreciation,mean_appreciation,property_count,median_value_2022,median_value_2024
KINISKI GARDENS,4.293670536207849,4.66153069706315,2210,316000.0,330000.0
OXFORD,4.234527687296417,4.148101955239989,1387,396000.0,415000.0
TIPASKAN,4.211347401264471,1.2979361080639469,820,293000.0,308250.0
HENDERSON ESTATES,4.210136397847032,3.8840901872236677,622,621500.0,654250.0
HUDSON,4.2059485496729145,3.5553175806961574,902,393000.0,408250.0
CUMBERLAND,4.1554959785522785,3.1498468364304064,1979,379000.0,395500.0
OVERLANDERS,4.114263923045793,4.56791436896739,452,313500.0,322000.0
OZERNA,4.088685538696684,3.79846807307413,1420,396000.0,413000.0
WEINLOS,4.006200128492647,2.7780915566579614,1112,304500.0,318500.0
BELLE RIVE,3.9260969976905313,5.550847471644425,1244,424500.0,439750.0
FRASER,3.851261620185923,3.6925580988152804,1437,311500.0,322500.0
BLACKBURNE,3.799034285151187,4.323668375494348,588,419500.0,434000.0
GRIESBACH,3.7037037037037033,2.6593833666346947,2237,374000.0,389500.0
LA PERLE,3.685388362167269,1.424403993180469,1630,304500.0,311500.0
LEE RIDGE,3.513711368762613,3.005763633609465,794,270250.0,277000.0
ELSINORE,3.4725768925207126,4.341971929996408,830,410500.0,425000.0
HOMESTEADER,3.296703296703297,2.6631166646326827,895,268000.0,276500.0
BLUE QUILL,3.2138491626940473,0.406784199102573,1072,298500.0,302000.0
FOREST HEIGHTS,3.0913294385970636,4.016680684380531,1440,420000.0,436500.0
WEST JASPER PLACE,3.018867924528302,3.0107314574754187,685,328500.0,340500.0
EAUX CLAIRES,3.003003003003003,1.0075879206543514,1379,289500.0,297500.0
BANNERMAN,2.8380634390651087,1.3776365129486972,1151,174000.0,185500.0
LAGO LINDO,2.509506066229968,3.4045459559778433,1364,334000.0,343000.0
BELMONT,2.486858021154493,1.929507248553429,1650,271000.0,278750.0
MENISA,2.4675324675324677,2.7201602910520903,868,343000.0,352500.0
SUMMERLEA,2.3504273504273505,1.0119595208149281,587,282500.0,295000.0
SWEET GRASS,2.3323615160349855,1.5511513009769977,1000,215000.0,211000.0
EKOTA,2.3041474654377883,1.9171944742103735,777,334000.0,342000.0
ALBANY,2.266390088335732,1.3788135022136927,578,259500.0,267500.0
ORMSBY PLACE,2.113728547775276,1.493497983647832,1756,359750.0,372750.0
BATURYN,2.018633540372671,1.8982498886660668,1625,314000.0,320500.0
SIFTON PARK,1.9867549668874174,0.580471544069854,405,304500.0,311500.0
DUNLUCE,1.9543973941368076,1.9398413466647049,1935,313500.0,319500.0
SHERWOOD,1.9230769230769231,0.5807450583942372,455,274000.0,282500.0
LORELEI,1.922962962962963,0.8298984404075108,1276,317500.0,323750.0
MCLEOD,1.92,2.5687908194505225,870,318000.0,325000.0
VIRGINIA PARK,1.9185901646771015,1.8268674214880163,198,374000.0,390750.0
MACTAGGART,1.8548827059465356,2.5772778493604935,1315,544000.0,585500.0
RURAL NORTH EAST SOUTH STURGEON,1.8154311649016641,1.715740708806574,225,727000.0,740000.0
TWEDDLE PLACE,1.766304347826087,0.8125567233058009,745,338500.0,346500.0
GRANDVIEW HEIGHTS,1.7509727626459144,1.4829866478204061,345,828000.0,832000.0
THORNCLIFF,1.6840395530646486,0.5742538147435512,724,326750.0,333500.0
EDMONTON SOUTH CENTRAL,1.425177944217702,2.0886841853472355,66,789250.0,802000.0
EDMONTON SOUTH EAST,1.3542176084411448,2.8703929949256075,66,629000.0,637250.0
CANOSSA,1.1606170001317098,1.390380214820694,1040,404500.0,410500.0
HIGH PARK,1.0638297872340425,1.5303912574119876,607,301500.0,304500.0
CAERNARVON,0.926641479191711,0.5799438298008951,1418,312000.0,314500.0
RITCHIE,0.9188361408882083,0.8575852658037333,1817,344000.0,350500.0
CALLINGWOOD NORTH,0.8922174755220633,1.879516277592045,798,161000.0,159500.0
EVANSDALE,0.8915304606240713,0.5877110522611897,1555,321500.0,324000.0
KILDARE,0.6980802792321117,-1.8767140305055665,939,302000.0,305000.0
KIRKNESS,0.5163511187607573,1.5783313562982237,1247,293500.0,293500.0
TAWA,0.37453183520599254,2.456617825453901,863,196000.0,191500.0
NORTH GLENORA,0.33964199975214926,1.5581489789239165,708,398500.0,401750.0
OTTEWELL,0.0,0.8461741301871901,2312,389500.0,389500.0
KILKENNY,0.0,-0.3779153493375122,1571,322000.0,323000.0
CASSELMAN,0.0,-0.6170394552568954,1191,161500.0,159500.0
WOODCROFT,0.0,-0.7512712403266759,690,338000.0,340000.0
EVERGREEN,0.0,2.2208303666420464,645,36000.0,37000.0
RAMSAY HEIGHTS,-0.24752475247524752,0.17752651858976778,1093,495500.0,504500.0
KENILWORTH,-0.31201248049922,0.7698759844553253,975,377500.0,376500.0
AMBLESIDE,-0.5108631826189078,2.8617444421446523,3368,266500.0,260250.0
TERRACE HEIGHTS,-0.5313305023937516,-0.4390601027716447,634,362500.0,363500.0
RICHFORD,-0.6299212598425197,1.9232325275672697,649,250000.0,256000.0
LANSDOWNE,-0.6357856494096277,-0.4173758651415531,359,605500.0,598000.0
MCKERNAN,-0.6613756613756614,0.4672089500254001,889,514000.0,516000.0
PARKVIEW,-0.7531071459630734,2.556444291634675,1310,560750.0,559500.0
HAIRSINE,-0.768650861172556,-0.6991957458375185,824,157500.0,159000.0
TERRA LOSA,-0.8333333333333334,0.1537758846702924,1173,173000.0,172500.0
RIVERDALE,-0.8849557522123894,-1.4213343138065655,1001,377500.0,372000.0
ELMWOOD,-0.9273592477926842,-0.10924531454587487,776,326500.0,323000.0
RIVER VALLEY HERMITAGE,-1.1299795709908071,-2.664905693574511,62,179500.0,180250.0
ALLENDALE,-1.1820898218890572,-0.4608638113474795,918,407750.0,404500.0
WESTMOUNT,-1.214467685706624,-1.503763887102406,2684,367000.0,365000.0
